month_year,received_usd
2019-01,73865343.87792002
2019-02,74153516.92571002
2019-03,90586874.55487001
2019-04,115211911.16917
2019-05,108356656.91645004
2019-06,109120243.88402
2019-07,116662506.68047999
2019-08,119359687.54307999
2019-09,119671149.89029
2019-10,128912546.21402997
2019-11,131296252.05983001
2019-12,153376621.26873004
2020-01,132887252.32463002
2020-02,123394796.42231001
2020-03,122846217.02522996
2020-04,120784986.21802999
2020-05,138685710.06160998
2020-06,150526554.45707
2020-07,156813623.18500996
2020-08,168659739.58005998
2020-09,143702974.13032004
2020-10,158210380.72316
2020-11,143873303.90134996
2020-12,167489785.34717998
2021-01,59961638.03674
